"","Year","Rank","Title","Genre","Rating","Votes","Gross"
"1",2018,"1.","Killing Eve","Action","8.2",110884,NA
"2",2018,"2.","Yellowstone","Drama","8.8",108737,NA
"3",2018,"3.","Élite","Crime","7.4",71472,NA
"4",2018,"4.","Fantastic Beasts: The Crimes of Grindelwald","Adventure","6.5",260757,159560000
"5",2018,"5.","Derry Girls","Comedy","8.4",30025,NA
"6",2018,"6.","The Rookie","Crime","8.1",34214,NA
"7",2018,"7.","Succession","Drama","8.8",124172,NA
"8",2018,"8.","The Split","Drama","7.7",5767,NA
"9",2018,"9.","9-1-1","Action","7.8",31143,NA
"10",2018,"10.","Barry","Action","8.3",60679,NA
"11",2018,"11.","Legacies","Adventure","7.4",28532,NA
"12",2018,"12.","FBI","Action","6.9",16007,NA
"13",2018,"13.","How It Ends","Action","5.0",50444,NA
"14",2018,"14.","Cobra Kai","Action","8.6",162935,NA
"15",2018,"15.","Magnum P.I.","Action","5.9",12323,NA
"16",2018,"16.","You","Crime","7.8",224817,NA
"17",2018,"17.","K.G.F: Chapter 1","Action","8.4",67662,NA
"18",2018,"18.","Good Girls","Comedy","7.8",49480,NA
"19",2018,"19.","The Resident","Drama","7.9",25261,NA
"20",2018,"20.","Titans","Action","7.6",95231,NA
"21",2018,"21.","A Million Little Things","Comedy","7.9",12744,NA
"22",2018,"22.","The Favourite","Biography","7.5",194119,34370000
"23",2018,"23.","Jack Ryan","Action","8.1",110341,NA
"24",2018,"24.","Avengers: Infinity War","Action","8.5",1004409,678820000
"25",2018,"25.","Aquaman","Action","6.8",439733,335060000
"26",2018,"26.","Manifest","Drama","7.1",49821,NA
"27",2018,"27.","L'amica geniale","Drama","8.6",13650,NA
"28",2018,"28.","Station 19","Action","6.8",13719,NA
"29",2018,"29.","Spider-Man: Into the Spider-Verse","Animation","8.4",484577,190240000
"30",2018,"30.","Mayans M.C.","Crime","7.6",16263,NA
"31",2018,"31.","New Amsterdam","Drama","8.1",35322,NA
"32",2018,"32.","Hereditary","Drama","7.3",289776,44070000
"33",2018,"33.","Bohemian Rhapsody","Biography","7.9",514326,216430000
"34",2018,"34.","A Discovery of Witches","Drama","7.9",50273,NA
"35",2018,"35.","Annihilation","Adventure","6.8",311705,32730000
"36",2018,"36.","All American","Drama","7.7",10080,NA
"37",2018,"37.","Deadpool 2","Action","7.7",550243,324590000
"38",2018,"38.","The Haunting of Hill House","Drama","8.6",225507,NA
"39",2018,"39.","Black Panther","Action","7.3",716988,700060000
"40",2018,"40.","Venom","Action","6.6",462608,213520000
"41",2018,"41.","Maniac","Comedy","7.7",75604,NA
"42",2018,"42.","Ready Player One","Action","7.4",419016,137690000
"43",2018,"43.","Lost in Space","Adventure","7.3",96525,NA
"44",2018,"44.","Ocean's Eight","Action","6.3",211208,140220000
"45",2018,"45.","Altered Carbon","Action","8.0",161187,NA
"46",2018,"46.","Jurassic World: Fallen Kingdom","Action","6.2",295861,417720000
"47",2018,"47.","Green Book","Biography","8.2",460867,85080000
"48",2018,"48.","Crazy Rich Asians","Comedy","6.9",165455,174530000
"49",2018,"49.","Charmed","Drama","4.6",16001,NA
"50",2018,"50.","Narcos: México","Crime","8.4",80567,NA
"51",2018,"51.","Suspiria","Drama","6.7",73399,2470000
"52",2018,"52.","A Star Is Born","Drama","7.6",371816,215290000
"53",2018,"53.","Sharp Objects","Crime","8.1",93322,NA
"54",2018,"54.","Fifty Shades Freed","Drama","4.5",63702,100410000
"55",2018,"55.","Solo: A Star Wars Story","Action","6.9",329344,213770000
"56",2018,"56.","Mission: Impossible - Fallout","Action","7.7",319910,220160000
